annee,mois,valeur,niveau_pluviométrie
2023,1,0.13021788381552749,Situation normale
2023,2,0.22215903611746957,Situation normale
2023,3,0.6695730154635217,Situation normale
2023,4,0.644129816114799,Situation normale
2023,5,0.28669693856429146,Situation normale
2023,6,0.3160050743826847,Situation normale
2023,7,0.5301718849313668,Situation normale
2023,8,0.5240872095869457,Situation normale
2023,9,0.28928076737554237,Situation normale
2023,10,0.5844076724472148,Situation normale
2023,11,0.5890796762797104,Situation normale
2023,12,0.38625188686834233,Situation normale
2024,1,0.23224491038196976,Situation normale
