annee,mois,valeur,niveau_pluviométrie
2023,1,0.08513766301580661,Situation normale
2023,2,0.12158190966745337,Situation normale
2023,3,0.6595155347611804,Situation normale
2023,4,0.7060543835178567,Situation normale
2023,5,0.3868299221392285,Situation normale
2023,6,0.1998778212528642,Situation normale
2023,7,0.5314714560629692,Situation normale
2023,8,0.42699747808792043,Situation normale
2023,9,0.3066310467418915,Situation normale
2023,10,0.3829706250403195,Situation normale
2023,11,0.7225898971905009,Situation normale
2023,12,0.20540573551468622,Situation normale
2024,1,0.12633160050540337,Situation normale
