annee,mois,valeur,niveau_pluviométrie
2023,1,-0.09137664410414713,Situation normale
2023,2,-0.0022872432684152735,Situation normale
2023,3,0.5815337597300035,Situation normale
2023,4,0.6045720064764047,Situation normale
2023,5,0.18073694954019026,Situation normale
2023,6,0.23789106057992498,Situation normale
2023,7,0.35729107354821615,Situation normale
2023,8,0.3862841660425595,Situation normale
2023,9,0.26368053508971695,Situation normale
2023,10,0.3686496276598081,Situation normale
2023,11,0.5894595688580513,Situation normale
2023,12,0.31131324873489646,Situation normale
2024,1,7.51067823116117e-05,Situation normale
